央视,#genre#
翡翠台,https://cdn.hkdtmb.com/hls/81/index.m3u8#https://cdn.hkdtmb.com/81a/playlist.m3u8#http://61.238.6.49:8000/bysid/1#http://cdn.wakds.xyz:25461/live/hls/live/1390.m3u8#http://danielwu.gz01.bdysite.com/iptv/?id=tvb2#http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
J2,https://cdn.hkdtmb.com/82a/playlist.m3u8#http://zscity.f3322.net:8000/bysid/82
无线新闻台,http://155.94.164.191/live.php?id=1#http://tv.sason.xyz/proxy/tvb.php?id=xw#http://zscity.f3322.net:8000/bysid/83#http://520574.xyz/dl/tvb.php?id=inewshd#http://155.94.164.191/live.php?id=1#http://45.93.217.106/jiuban/hg.php?id=1#http://96.45.185.192/tv.php?vid=wxxw#http://danielwu.gz01.bdysite.com/iptv/?id=wxxw2#http://cdn.wakds.xyz:25461/live/hls/live/1392.m3u8#http://nat1.hk.pn:15501/tvb.php?id=inews
明珠台,http://zscity.f3322.net:8000/bysid/2#http://cdn.wakds.xyz:25461/live/hls/live/1391.m3u8#http://116.199.5.52:8114/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=12&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
无线财经资讯台,http://155.94.164.191/live.php?id=2#http://tv.sason.xyz/proxy/tvb.php?id=cj#http://zscity.f3322.net:8000/bysid/85#http://45.93.217.106/jiuban/hg.php?id=2#http://nat1.hk.pn:15501/tvb.php?id=finance#http://wowza-live.edge-sg.akamai.tvb.com/newslive/smil:mobilehd_finance.smil/playlist.m3u8?hdnea=st=1593222304~exp=1593308704~acl=/newslive/smil:mobilehd_finance.smil/*~hmac=7474b1ba9dcd09f51a993e1142c1a52dc071f1f097297d122ce1342ff731a5ed
香港开电视,https://cdn.hkdtmb.com/77a/playlist.m3u8
viuTV,https://cdn.hkdtmb.com/hls/99/index.m3u8#https://cdn.hkdtmb.com/99a/playlist.m3u8#http://61.238.6.49:8000/bysid/99#http://hls.globaliptv.ml/viu99.php#mitv://147.135.39.171:9906/5d9a2e7b000d28609cc0d68b68a05dd1.ts
viuTV6,http://hls.globaliptv.ml/viu96.php#http://61.238.6.49:8000/bysid/96#mitv://147.135.39.171:9906/5d9a2e7c0000af799cc0d74673341867.ts
RTHK31,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8$★官网#mitv://147.135.39.171:9906/5e9fd724000764a5c5f564790eb03709.ts
RTHK32,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8$★官网#mitv://147.135.39.171:9906/5e9fd724000d1fc7c5f565f078712f85.ts
有线新闻台,http://liveicm12.utvlive.top/live/97609933ef744f008e19a6e0d5ef9f2b/edd34677cc9548539d36b10c1c594b94-3.m3u8#http://liveicm5.utvlive.top/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c-3.m3u8#http://danielwu.gz01.bdysite.com/iptv/?id=yxxw2
有线财经资讯台,http://liveicm12.utvlive.top/live/add598ff3f90428da3fbebb644ba135b/2bbaa83758ba412bbdd8d08626c56eb4-3.m3u8#http://liveicm5.utvlive.top/live/5bcdb730f6be41868ac15afffbb67152/3d27db5ab65942eda36b25374669990d-3.m3u8
有线综合娱乐台,http://liveicm12.utvlive.top/live/d4e03afe056a4f2da070d5f789f3ac9e/a5ed7598a90246199df373924de367d4-3.m3u8#http://liveicm5.utvlive.top/live/72ee37b54d524bcb806957577dfdfd72/fe371c746eb94b01b7fb0e70569a2e9f-3.m3u8
有线直播新闻台,mitv://147.135.39.171:9906/5ef4ecd400015d191252b914239a34f8.ts
有线18台,mitv://147.135.39.171:9906/5ea539e900018755daff46da4f370362.ts
有线603,mitv://147.135.39.171:9906/5ef4ecd300091a2f1252b72006d82fc2.ts
有线电影台,http://cdn.wakds.xyz:25461/live/hls/live/1399.m3u8
now新闻台,http://cdn.wakds.xyz:25461/live/hls/live/1397.m3u8#p8p://0198.02686.cc:16871/5e565c070000cb6f2d78cad5c040fa7b#mitv://147.135.39.171:9906/5e3e2d4d00034f186dbafcc93ae46ad8.ts
无线新闻LIVE,http://155.94.164.191/live.php?id=3#http://nat1.hk.pn:15501/tvb.php?id=newsevent1
香港电台LIVE,https://rthkcnews-lh.akamaihd.net/i/rthknews_1@312607/index_190000011_av-b.m3u8
ATV A1台,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo_720p.m3u8#https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo.m3u8
凤凰中文,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225942/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8#http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰资讯,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225949/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/fhzixun/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8#http://117.169.120.138:8080/live/fhzixun/1.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8#http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8#p8p://0198.02686.cc:16871/5d1a69d6000505cd11be625a06b24e50
